,customerid,gender,age,annual_income_(k$),spending_score_(1-100)
0,1,male,19,15.0,39.0
1,2,male,21,15.0,81.0
2,3,female,20,16.0,6.0
3,4,female,23,16.0,77.0
4,5,female,31,17.0,40.0
5,6,female,22,17.0,76.0
6,7,female,35,18.0,6.0
7,8,female,23,18.0,94.0
8,9,male,64,19.0,3.0
9,10,female,30,19.0,72.0
10,11,male,67,19.0,14.0
11,12,female,35,19.0,99.0
12,13,female,58,20.0,15.0
13,14,female,24,20.0,77.0
14,15,male,37,20.0,13.0
15,16,male,22,20.0,79.0
16,17,female,35,21.0,35.0
17,18,male,20,21.0,66.0
18,19,male,52,23.0,29.0
19,20,female,35,23.0,98.0
20,21,male,35,24.0,35.0
21,22,male,25,24.0,73.0
22,23,female,46,25.0,5.0
23,24,male,31,25.0,73.0
24,25,female,54,28.0,14.0
25,26,male,29,28.0,82.0
26,27,female,45,28.0,32.0
27,28,male,35,28.0,61.0
28,29,female,40,29.0,31.0
29,30,female,23,29.0,87.0
30,31,male,60,30.0,4.0
31,32,female,21,30.0,73.0
32,33,male,53,33.0,4.0
33,34,male,18,33.0,92.0
34,35,female,49,33.0,14.0
35,36,female,21,33.0,81.0
36,37,female,42,34.0,17.0
37,38,female,30,34.0,73.0
38,39,female,36,37.0,26.0
39,40,female,20,37.0,75.0
40,41,female,65,38.0,35.0
41,42,male,24,38.0,92.0
42,43,male,48,39.0,36.0
43,44,female,31,39.0,61.0
44,45,female,49,39.0,28.0
45,46,female,24,39.0,65.0
46,47,female,50,40.0,55.0
47,48,female,27,40.0,47.0
48,49,female,29,40.0,42.0
49,50,female,31,40.0,42.0
50,51,female,49,42.0,52.0
51,52,male,33,42.0,60.0
52,53,female,31,43.0,54.0
53,54,male,59,43.0,60.0
54,55,female,50,43.0,45.0
55,56,male,47,43.0,41.0
56,57,female,51,44.0,50.0
57,58,male,69,44.0,46.0
58,59,female,27,46.0,51.0
59,60,male,53,46.0,46.0
60,61,male,70,46.0,56.0
61,62,male,19,46.0,55.0
62,63,female,67,47.0,52.0
63,64,female,54,47.0,59.0
64,65,male,63,48.0,51.0
65,66,male,18,48.0,59.0
66,67,female,43,48.0,50.0
67,68,female,68,48.0,48.0
68,69,male,19,48.0,59.0
69,70,female,32,48.0,47.0
70,71,male,70,49.0,55.0
71,72,female,47,49.0,42.0
72,73,female,60,50.0,49.0
73,74,female,60,50.0,56.0
74,75,male,59,54.0,47.0
75,76,male,26,54.0,54.0
76,77,female,45,54.0,53.0
77,78,male,40,54.0,48.0
78,79,female,23,54.0,52.0
79,80,female,49,54.0,42.0
80,81,male,57,54.0,51.0
81,82,male,38,54.0,55.0
82,83,male,67,54.0,41.0
83,84,female,46,54.0,44.0
84,85,female,21,54.0,57.0
85,86,male,48,54.0,46.0
86,87,female,55,57.0,58.0
87,88,female,22,57.0,55.0
88,89,female,34,58.0,60.0
89,90,female,50,58.0,46.0
90,91,female,68,59.0,55.0
91,92,male,18,59.0,41.0
92,93,male,48,60.0,49.0
93,94,female,40,60.0,40.0
94,95,female,32,60.0,42.0
95,96,male,24,60.0,52.0
96,97,female,47,60.0,47.0
97,98,female,27,60.0,50.0
98,99,male,48,61.0,42.0
99,100,male,20,61.0,49.0
100,101,female,23,62.0,41.0
101,102,female,49,62.0,48.0
102,103,male,67,62.0,59.0
103,104,male,26,62.0,55.0
104,105,male,49,62.0,56.0
105,106,female,21,62.0,42.0
106,107,female,66,63.0,50.0
107,108,male,54,63.0,46.0
108,109,male,68,63.0,43.0
109,110,male,66,63.0,48.0
110,111,male,65,63.0,52.0
111,112,female,19,63.0,54.0
112,113,female,38,64.0,42.0
113,114,male,19,64.0,46.0
114,115,female,18,65.0,48.0
115,116,female,19,65.0,50.0
116,117,female,63,65.0,43.0
117,118,female,49,65.0,59.0
118,119,female,51,67.0,43.0
119,120,female,50,67.0,57.0
120,121,male,27,67.0,56.0
121,122,female,38,67.0,40.0
122,123,female,40,69.0,58.0
123,124,male,39,69.0,91.0
124,125,female,23,70.0,29.0
125,126,female,31,70.0,77.0
126,127,male,43,71.0,35.0
127,128,male,40,71.0,95.0
128,129,male,59,71.0,11.0
129,130,male,38,71.0,75.0
130,131,male,47,71.0,9.0
131,132,male,39,71.0,75.0
132,133,female,25,72.0,34.0
133,134,female,31,72.0,71.0
134,135,male,20,73.0,5.0
135,136,female,29,73.0,88.0
136,137,female,44,73.0,7.0
137,138,male,32,73.0,73.0
138,139,male,19,74.0,10.0
139,140,female,35,74.0,72.0
140,141,female,57,75.0,5.0
141,142,male,32,75.0,93.0
142,143,female,28,76.0,40.0
143,144,female,32,76.0,87.0
144,145,male,25,77.0,12.0
145,146,male,28,77.0,97.0
146,147,male,48,77.0,36.0
147,148,female,32,77.0,74.0
148,149,female,34,78.0,22.0
149,150,male,34,78.0,90.0
150,151,male,43,78.0,17.0
151,152,male,39,78.0,88.0
152,153,female,44,78.0,20.0
153,154,female,38,78.0,76.0
154,155,female,47,78.0,16.0
155,156,female,27,78.0,89.0
156,157,male,37,78.0,1.0
157,158,female,30,78.0,78.0
158,159,male,34,78.0,1.0
159,160,female,30,78.0,73.0
160,161,female,56,79.0,35.0
161,162,female,29,79.0,83.0
162,163,male,19,81.0,5.0
163,164,female,31,81.0,93.0
164,165,male,50,85.0,26.0
165,166,female,36,85.0,75.0
166,167,male,42,86.0,20.0
167,168,female,33,86.0,95.0
168,169,female,36,87.0,27.0
169,170,male,32,87.0,63.0
170,171,male,40,87.0,13.0
171,172,male,28,87.0,75.0
172,173,male,36,87.0,10.0
173,174,male,36,87.0,92.0
174,175,female,52,88.0,13.0
175,176,female,30,88.0,86.0
176,177,male,58,88.0,15.0
177,178,male,27,88.0,69.0
178,179,male,59,93.0,14.0
179,180,male,35,93.0,90.0
180,181,female,37,97.0,32.0
181,182,female,32,97.0,86.0
182,183,male,46,98.0,15.0
183,184,female,29,98.0,88.0
184,185,female,41,99.0,39.0
185,186,male,30,99.0,97.0
186,187,female,54,101.0,24.0
187,188,male,28,101.0,68.0
188,189,female,41,103.0,17.0
189,190,female,36,103.0,85.0
190,191,female,34,103.0,23.0
191,192,female,32,103.0,69.0
192,193,male,33,113.0,8.0
193,194,female,38,113.0,91.0
194,195,female,47,120.0,16.0
195,196,female,35,120.0,79.0
196,197,female,45,126.0,28.0
197,198,male,32,126.0,74.0
198,199,male,32,137.0,18.0
199,200,male,30,137.0,83.0
